Squad : started
-- Benchmark started --
Execution on local device:
nbLoopPerTask	nbBytePayload	nbTaskComp	timeMsPerTask
0001	00000010	0037718	00000000.79
0002	00000010	0020097	00000001.49
0004	00000010	0010828	00000002.77
0008	00000010	0005694	00000005.27
0016	00000010	0002795	00000010.74
0032	00000010	0001379	00000021.75
0064	00000010	0000694	00000043.28
0128	00000010	0000348	00000086.29
0256	00000010	0000174	00000172.78
0512	00000010	0000087	00000345.84
1024	00000010	0000044	00000691.86
0001	00000100	0004828	00000006.08
0002	00000100	0002604	00000011.52
0004	00000100	0001418	00000021.16
0008	00000100	0000753	00000039.84
0016	00000100	0000368	00000081.55
0032	00000100	0000182	00000165.59
0064	00000100	0000091	00000329.29
0128	00000100	0000046	00000656.20
0256	00000100	0000023	00001314.04
0512	00000100	0000012	00002631.50
1024	00000100	0000006	00005259.00
0001	00001000	0000505	00000058.10
0002	00001000	0000274	00000109.78
0004	00001000	0000150	00000200.32
0008	00001000	0000080	00000375.01
0016	00001000	0000039	00000769.46
0032	00001000	0000020	00001564.95
0064	00001000	0000010	00003108.70
0128	00001000	0000005	00006192.40
0256	00001000	0000003	00012401.33
0512	00001000	0000002	00024827.50
1024	00001000	0000001	00049639.00
Execution on TheSquid:
nbLoopPerTask	nbBytePayload	nbTaskComp	timeMsPerTask
0001	00000010	0001448	00000020.04
0002	00000010	0001480	00000020.27
0004	00000010	0001352	00000022.20
0008	00000010	0001238	00000024.24
0016	00000010	0001096	00000027.38
0032	00000010	0000884	00000033.91
0064	00000010	0000648	00000046.34
0128	00000010	0000430	00000069.78
0256	00000010	0000264	00000113.84
0512	00000010	0000150	00000201.79
1024	00000010	0000076	00000393.67
0001	00000100	0001210	00000024.55
0002	00000100	0001046	00000028.71
0004	00000100	0000890	00000033.69
0008	00000100	0000698	00000042.97
0016	00000100	0000448	00000067.09
0032	00000100	0000280	00000107.52
0064	00000100	0000156	00000192.49
0128	00000100	0000082	00000365.82
0256	00000100	0000042	00000724.43
0512	00000100	0000022	00001441.86
1024	00000100	0000012	00002678.92
0001	00001000	0000558	00000053.01
0002	00001000	0000360	00000083.58
0004	00001000	0000216	00000138.92
0008	00001000	0000138	00000218.59
0016	00001000	0000070	00000426.33
0032	00001000	0000038	00000825.03
0064	00001000	0000020	00001604.10
0128	00001000	0000010	00003413.00
0256	00001000	0000006	00006609.00
0512	00001000	0000004	00012693.75
1024	00001000	0000002	00025407.50
-- Benchmark ended --
Squad : ended
